Measure,Window,File,mean,median,std,min,max
HFD,1s,fractal_analysis_results_voicekey-test1-human.csv,0.291077023562271,0.280833300062571,0.08318790180266512,0.0877124502227531,0.5529250920698557
HFD,1s,fractal_analysis_results_voicekey-test1-ai-elevenlabs.csv,0.4433354687410485,0.4519324033191948,0.13565539748467417,0.1062540077753372,0.902192538220107
HFD,3s,fractal_analysis_results_voicekey-test1-human.csv,0.28519316588330645,0.2906453924201151,0.036193392763511426,0.1662638857461073,0.3736451919032084
HFD,3s,fractal_analysis_results_voicekey-test1-ai-elevenlabs.csv,0.4544224247328046,0.458501471587553,0.062184053065306034,0.2849802752140968,0.6463887624389575
DFA,1s,fractal_analysis_results_voicekey-test1-human.csv,1.5017272465460985,1.5244815312951356,0.1266814258811916,1.0331435529712978,1.7732661576977595
DFA,1s,fractal_analysis_results_voicekey-test1-ai-elevenlabs.csv,1.5838606437290157,1.597639328072359,0.13171542552657098,1.035592341776582,1.865048859157714
DFA,3s,fractal_analysis_results_voicekey-test1-human.csv,1.5158810339541198,1.5126583871805344,0.060216546699997764,1.3610659213817675,1.7092298600436775
DFA,3s,fractal_analysis_results_voicekey-test1-ai-elevenlabs.csv,1.589788011811492,1.597982624183179,0.061780505882927675,1.3699980547984068,1.7238519655154592
